name,address,place_id,ratings,opening_time,closing_time,type_food,latitude,longitude,university
Burger King,"Steinfurter Straße 113/115, Münster",ChIJV48gQpu6uUcR3OMOKrzpl-g,3.6,11:00,22:00,"restaurant, food, point_of_interest, establishment",51.97645900000001,7.600395,ifgi,true
Ristorante Il Gondoliere,"Von-Esmarch-Straße 28, Münster",ChIJXwRBiaG6uUcRBp1MZwJ8yJ8,4.4,12:00,14:00,"restaurant, food, point_of_interest, establishment",51.9654172,7.595328899999999,ifgi,true
Bistro Denkpause,"Fachhochschulzentrum, Corrensstraße 25, Münster",ChIJR5RIZp-6uUcRu5s-twVtRbU,3.2,07:30,14:30,"restaurant, food, point_of_interest, establishment",51.9686389,7.594686700000001,ifgi,true
Buddha Palace,"Von-Esmarch-Straße 18, Münster",ChIJrVhNgqG6uUcRHUUnyUZ2kLc,4.3,12:00,14:00,"restaurant, food, point_of_interest, establishment",51.96518,7.595779999999999,ifgi,true
Westfalen Tankstelle,"Steinfurter Straße 166, Münster",ChIJubE2Tpu6uUcRLKGMatXeIPc,4.3,00:00,23:00,"gas_station, car_wash, car_repair, restaurant, food, point_of_interest, establishment",51.9774,7.60019,ifgi,true
Gievenbecker Kebabhaus,"Michaelweg 64, Münster",ChIJ9297fAuwuUcRfKgYGRdZ5kc,3.6,11:30,21:30,"restaurant, food, point_of_interest, establishment",51.9670003,7.581731199999999,ifgi,true
Der gute Bäcker Krimphove,"Horstmarer Landweg 101, Münster",ChIJVZ0Vw566uUcRB4cqYo4Ee3s,4,08:00,15:00,"bakery, cafe, store, restaurant, food, point_of_interest, establishment",51.9711204,7.596585399999999,ifgi,true
King Kebab,"Corrensstraße, Münster",ChIJpbCWuq27uUcRuh9XKFEJa7o,4.2,12:00,21:00,"meal_takeaway, restaurant, food, point_of_interest, establishment",51.96952,7.5969959,ifgi,true
Bistro Pi,"Einsteinstraße 62, Münster",ChIJNawldZa7uUcRZBRw0OmvtdY,5,08:00,14:00,"restaurant, food, point_of_interest, establishment",51.9660058,7.6033274,ifgi,true
Bistro Durchblick,"Fliednerstraße 21, Münster",ChIJKTm8DjW7uUcRS-cb3yXOcx8,no_rating,07:45,15:45,"restaurant, food, point_of_interest, establishment",51.9630245,7.594493299999999,ifgi,true
Restaurant Precha,"Johann-Krane-Weg 24, Münster",ChIJ6aHcwqK7uUcRNADSNy_gbio,5,null,null,"restaurant, food, point_of_interest, establishment",51.97627219999999,7.5985721,ifgi,true
Ristorante Milano im Adler,"Johann-Krane-Weg 24, Münster",ChIJ4wcpV4a7uUcRic7GHfmjKak,5,12:00,14:00,"restaurant, food, point_of_interest, establishment",51.97629860000001,7.598486199999999,ifgi,true
Hotel Adler - Münster,"Johann-Krane-Weg 24, Münster",ChIJ9T4QLfa7uUcR1c-NIZqEOUY,4.6,null,null,"spa, cafe, lodging, restaurant, food, health, point_of_interest, establishment",51.9763008,7.598539199999999,ifgi,true
MWK E-Commerce Restaurant 1,"Steinfurter Straße 110, Münster",ChIJk93qY5q6uUcRRMZmhrBXJr8,no_rating,null,null,"restaurant, food, point_of_interest, establishment",51.9748598,7.6047207,ifgi,true
Roots,"Steinfurter Straße 104, Münster",ChIJF4JwY5O7uUcRJ54OxLS-dPE,4.1,null,null,"restaurant, food, point_of_interest, establishment",51.9742127,7.605766200000001,ifgi,true
Umai,"Steinfurter Straße 104, Münster",ChIJc9hmyky7uUcRsCBxky71nGk,3.4,null,null,"restaurant, food, point_of_interest, establishment",51.974309,7.605845799999999,ifgi,true
Café-Bistro 21 Ost,"Albert-Schweitzer-Campus, Münster",ChIJE12vSHC7uUcR31WmDJ-fNYg,4.6,09:00,17:00,"restaurant, food, point_of_interest, establishment",51.96107070000001,7.5971445,ifgi,true
Pizza Döner Express,"Michaelweg 64, Münster",ChIJ__8blAywuUcRW_nrpMI5scg,3.3,null,null,"restaurant, point_of_interest, food, establishment",51.9670003,7.581731199999999,ifgi,true
Restaurante Portolés,"Carretera Alcora, 246, Castellón de la Plana",ChIJR4MfSgb-Xw0RcNvj45I-EOA,4.4,12:00,17:00,"meal_takeaway, restaurant, food, point_of_interest, establishment",39.99012809999999,-0.07176359999999998,UJI,true
Tram's Coffee,"Paseo de la Universidad, 48, Local 12, Castellón de la Plana",ChIJHTPVaRD-Xw0R_T_yjApEAW0,4,07:00,23:00,"bakery, meal_takeaway, bar, cafe, store, restaurant, food, point_of_interest, establishment",39.9927663,-0.0637157,UJI,true
Restaurante Nunez,"Carrer Pintor Goya, 3, Castelló de la Plana",ChIJT9wRTQb-Xw0RZhlK5XHXI-c,4.6,07:00,16:00,"bar, restaurant, food, point_of_interest, establishment",39.98965909999999,-0.0722329,UJI,true
Restaurant El Roble,"I García, Carrer de Honori García García, 8, Castelló de la Plana",ChIJ32mo5BD-Xw0RlHcMZxGLhgw,4.1,08:00,00:00,"bar, restaurant, food, point_of_interest, establishment",39.993624,-0.06234310000000001,UJI,true
Piccadilly Coffee,"Carrer de José María Mulet Ortiz, 12, 14, Castelló de la Plana",ChIJNyBf2hD-Xw0RuA_2hSIYcOA,4.3,09:00,20:00,"cafe, store, restaurant, food, point_of_interest, establishment",39.9936731,-0.06137629999999999,UJI,true
Mi Sushi,"Enfrente De La Gasolinera Bp, Carretera Alcora, 189, Castellón de la Plana",ChIJI0aWq-T9Xw0R35mogVC08g0,4.1,13:00,16:00,"restaurant, food, point_of_interest, establishment",39.9880441,-0.0660139,UJI,true
Restaurant Àgora,Spain,ChIJtzK-tw7-Xw0R25bM6WtUB1I,4.2,08:00,18:00,"restaurant, food, point_of_interest, establishment",39.9952066,-0.0696466,UJI,true
SHOKAI sushi bar,"Carrer de Jesús Martí Martín, 26, Castelló de la Plana",ChIJnZcpYrr_Xw0Rg6sTRzODavo,4.4,13:00,16:00,"restaurant, food, point_of_interest, establishment",39.99223959999999,-0.0642423,UJI,true
Kebab Aladdin UJI,"Avinguda de Vicent Sos Baynat, 13, Castelló de la Plana",ChIJi9cdiML_Xw0Runt8cSDhq14,4.7,12:00,23:00,"restaurant, food, point_of_interest, establishment",39.9937529,-0.0634869,UJI,true
Mamma Mia. Ristorante,"Passeig de la Universitat, 45, Castelló de la Plana",ChIJz3EQwy3_Xw0R8nackMN036o,4.2,13:00,16:00,"restaurant, food, point_of_interest, establishment",39.9924012,-0.06395390000000001,UJI,true
"Cocó, Comidas para llevar","Avinguda de Vicent Sos Baynat, 11, Castelló de la Plana",ChIJH8tyUxD-Xw0R2oOygAdUKAI,4.6,10:30,15:30,"meal_takeaway, restaurant, food, point_of_interest, establishment",39.99403,-0.06328829999999999,UJI,true
Eat&Meet Bar Cafetería,"Avinguda de Vicent Sos Baynat, 33, Castelló de la Plana",ChIJL5PX02T_Xw0RF4sQ9UjBnGg,4.9,08:00,14:00,"bar, restaurant, cafe, store, food, point_of_interest, establishment",39.9906118,-0.0658077,UJI,true
Restaurant el Racó,"Carretera Alcora, Castellón de la Plana",ChIJkWzt7SL_Xw0RDpMzgL8nbro,4,null,null,"restaurant, food, point_of_interest, establishment",39.9900792,-0.07183529999999999,UJI,true
Restaurant xinés Zhen Wei,"Carrer de Honori García García, 2, Castelló de la Plana",ChIJF86eqRH-Xw0Rx1MCs_ud2C0,4.1,12:30,16:30,"restaurant, food, point_of_interest, establishment",39.9942157,-0.0631096,UJI,true
Restaurante Norteño Chicken,"Carrer de José María Mulet Ortiz, 26, Castelló de la Plana",ChIJTVybfKL_Xw0R1SNMvn6IPHI,4.8,13:00,17:00,"restaurant, food, point_of_interest, establishment",39.9933676,-0.06303539999999999,UJI,true
"Bar Restaurante, Donde Ana","Carretera Alcora, 239, Castellón de la Plana",ChIJ6bhCwAr_Xw0Rpxgt-MbVM2w,4.3,05:30,20:30,"bar, restaurant, food, point_of_interest, establishment",39.9898763,-0.07190989999999998,UJI,true
'La Sabrosa',Spain,ChIJGR-zBxH-Xw0RLNmVJr7kIds,no_rating,null,null,"restaurant, food, point_of_interest, establishment",39.9945815,-0.062858,UJI,true
Mesón Casa Laura,"Carretera Alcora, 241, Castellón de la Plana",ChIJTaknlxv-Xw0RwnP17EM96Ls,4.3,08:00,18:00,"restaurant, food, point_of_interest, establishment",39.9899718,-0.0722511,UJI,true
The Green Burger,"Carrer de Honori García García, 3, Castelló de la Plana",ChIJF_exMan_Xw0R0OBe9FojYWk,4.8,null,null,"store, restaurant, food, point_of_interest, establishment",39.9942416,-0.0625674,UJI,true
Cocino para ti - La Uji,"Carrer de Jesús Martí Martín, 20, Castelló de la Plana",ChIJ7eVuIE7_Xw0RrcvY4VVcNhw,4.7,11:30,15:30,"restaurant, food, point_of_interest, establishment",39.9912934,-0.0639394,UJI,true
Cocino para ti - La Uji,"Carrer de Jesús Martí Martín, 20, Castelló de la Plana",ChIJ7eVuIE7_Xw0RrcvY4VVcNhw,4.7,11:30,15:30,"restaurant, point_of_interest, food, establishment",39.9912934,-0.0639394,UJI,true
Cocino para ti - La Uji,"Carrer de Jesús Martí Martín, 20, Castelló de la Plana",ChIJ7eVuIE7_Xw0RrcvY4VVcNhw,4.7,11:30,15:30,"restaurant, food, point_of_interest, establishment",39.9912934,-0.0639394,UJI,true
Cocino para ti - La Uji,"Carrer de Jesús Martí Martín, 20, Castelló de la Plana",ChIJ7eVuIE7_Xw0RrcvY4VVcNhw,4.7,11:30,15:30,"restaurant, food, point_of_interest, establishment",39.9912934,-0.0639394,UJI,true
